©2018 IHS Markit,Production,"List: Harvest - Caroline - Well List.lwell
Datum: NAD83 (NTv2 - ATS 2.6 Grid)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
UWI","
Prod Date","
Status","Monthly
Oil
(bbl)","Avg Dly
Oil
(bbl/d)","Cal Dly
Oil
(bbl/d)","Cum Prd
Oil
(bbl)","Monthly
Gas
(mcf)","Avg Dly
Gas
(mcf/d)","Cal Dly
Gas
(mcf/d)","Cum Prd
Gas
(mcf)","Monthly
Water
(bbl)","Avg Dly
Water
(bbl/d)","Cal Dly
Water
(bbl/d)","Cum Prd
Water
(bbl)","Monthly
Cond
(bbl)","Avg Dly
Cond
(bbl/d)","Cal Dly
Cond
(bbl/d)","Cum Prd
Cond
(bbl)","Monthly
Fluid
(bbl)","Avg Dly
Fluid
(bbl/d)","Cal Dly
Fluid
(bbl/d)","Cum Prd
Fluid
(bbl)","Mon Inj
Oil
(bbl)","Avg Inj
Oil
(bbl/d)","Cal Inj
Oil
(bbl/d)","Cum Inj
Oil
(bbl)","Mon Inj
Gas
(mcf)","Avg Inj
Gas
(mcf/d)","Cal Inj
Gas
(mcf/d)","Cum Inj
Gas
(mcf)","Mon Inj
Water
(bbl)","Avg Inj
Water
(bbl/d)","Cal Inj
Water
(bbl/d)","Cum Inj
Water
(bbl)","Mon Inj
Solv
(mcf)","Avg Inj
Solv
(mcf/d)","Cal Inj
Solv
(mcf/d)","Cum Inj
Solv
(mcf)","Inj
Hours
(hr)","Prd
Hours
(hr)","Inj/Prd
Hours
(hr)","
WCT
(%)","
OCT
(%)","
CCT
(%)","
GOR
(scf/bbl)","
WGR
(bbl/mmcf)","
WOR
(bbl/bbl)","
CGR
(bbl/mmcf)"
100/06-20-033-04W5/0,1/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,724753.57,23794.92,23379.15,56890315.87,2273.61,74.65,73.34,158007.66,0.00,0.00,0.00,0.00,2273.61,74.65,73.34,158007.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,731,731,100.00,0.00,0.00,0.00,3.14,0.00,0.00
100/06-20-033-04W5/0,2/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,723603.57,25389.60,24951.85,57613919.45,2118.81,74.34,73.06,160126.47,0.00,0.00,0.00,0.00,2118.81,74.34,73.06,160126.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,684,684,100.00,0.00,0.00,0.00,2.93,0.00,0.00
100/06-20-033-04W5/0,3/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,743476.51,24817.02,23983.11,58357395.96,2211.94,73.83,71.35,162338.42,0.00,0.00,0.00,0.00,2211.94,73.83,71.35,162338.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,719,719,100.00,0.00,0.00,0.00,2.98,0.00,0.00
100/06-20-033-04W5/0,4/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,616675.16,24916.17,20555.84,58974071.13,1845.70,74.57,61.52,164184.11,0.00,0.00,0.00,0.00,1845.70,74.57,61.52,164184.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,594,594,100.00,0.00,0.00,0.00,2.99,0.00,0.00
100/06-20-033-04W5/0,5/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,739799.36,24322.17,23864.50,59713870.49,2272.98,74.73,73.32,166457.10,0.00,0.00,0.00,0.00,2272.98,74.73,73.32,166457.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,730,730,100.00,0.00,0.00,0.00,3.07,0.00,0.00
100/06-20-033-04W5/0,6/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,694612.30,24443.83,23153.74,60408482.79,2058.40,72.44,68.61,168515.50,0.00,0.00,0.00,0.00,2058.40,72.44,68.61,168515.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,682,682,100.00,0.00,0.00,0.00,2.96,0.00,0.00
100/06-20-033-04W5/0,7/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,730255.10,23942.79,23556.62,61138737.89,2266.69,74.32,73.12,170782.19,0.00,0.00,0.00,0.00,2266.69,74.32,73.12,170782.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,732,732,100.00,0.00,0.00,0.00,3.10,0.00,0.00
100/06-20-033-04W5/0,8/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,734663.42,24120.28,23698.82,61873401.31,2208.80,72.52,71.25,172990.99,0.00,0.00,0.00,0.00,2208.80,72.52,71.25,172990.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,731,731,100.00,0.00,0.00,0.00,3.01,0.00,0.00
100/06-20-033-04W5/0,9/1/2000,FLOWING GAS,0.00,0.00,0.00,0.00,664030.90,22799.34,22134.36,62537432.21,2132.65,73.22,71.09,175123.64,0.00,0.00,0.00,0.00,2132.65,73.22,71.09,175123.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,699,699,100.00,0.00,0.00,0.00,3.21,0.00,0.00
